"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListAddAtIndex","avgt",1,1,"2,082834",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListAddCollection","avgt",1,1,"0,501467",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListAddCollectionAtIndex","avgt",1,1,"1,032716",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListAddFirst","avgt",1,1,"15,080390",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListAddLast","avgt",1,1,"0,088350",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListGet","avgt",1,1,"0,162494",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListRemoveAtIndex","avgt",1,1,"0,000001",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListRemoveFirst","avgt",1,1,"0,000021",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileArrayListRemoveObject","avgt",1,1,"0,147373",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListAddAtIndex","avgt",1,1,"48,734307",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListAddCollection","avgt",1,1,"0,563155",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListAddCollectionAtIndex","avgt",1,1,"15,135627",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListAddFirst","avgt",1,1,"0,144177",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListAddLast","avgt",1,1,"0,120799",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListGet","avgt",1,1,"101,750105",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListRemoveAtIndex","avgt",1,1,"0,000003",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListRemoveFirst","avgt",1,1,"0,000002",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileLinkedListRemoveObject","avgt",1,1,"763,038233",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListAddAtIndex","avgt",1,1,"2,167270",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListAddCollection","avgt",1,1,"0,550361",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListAddCollectionAtIndex","avgt",1,1,"0,793170",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListAddFirst","avgt",1,1,"2,575195",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListAddLast","avgt",1,1,"0,211318",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListGet","avgt",1,1,"2,145539",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListRemoveAtIndex","avgt",1,1,"0,000005",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListRemoveFirst","avgt",1,1,"0,000003",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileRoddeListRemoveObject","avgt",1,1,"900,614133",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListAddAtIndex","avgt",1,1,"2,263167",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListAddCollection","avgt",1,1,"1,843777",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListAddCollectionAtIndex","avgt",1,1,"3,805687",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListAddFirst","avgt",1,1,"2,332852",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListAddLast","avgt",1,1,"2,424536",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListGet","avgt",1,1,"1,533344",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListRemoveAtIndex","avgt",1,1,"0,000010",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListRemoveFirst","avgt",1,1,"0,000019",NaN,"ms/op"
"com.coderodde.IndexedLinkedListPerformance.profileTreeListRemoveObject","avgt",1,1,"4702,513700",NaN,"ms/op"
